,auc,ap,f1,th,AP倍
E0_anchor,0.9290909632158131,0.8329105615389255,0.7349081364829396,0.23999999999999988,3.452623668502138
E1_finance,0.825912658642349,0.6245766996373179,0.5957446808510638,0.28499999999999986,2.589027436485418
E2_survey,0.6805818788017107,0.4283381785957022,0.4662813102119461,0.22999999999999993,1.7755694330615142
E3_dx_text,0.7894360816456136,0.5063149069611423,0.5916230366492147,0.31999999999999984,2.0988025752244
E4_org_text,0.7056471218631236,0.41421657142416257,0.4840182648401826,0.2699999999999999,1.7170318212107745
E6_manual,0.8252577473034521,0.6257135886905402,0.6070460704607046,0.3599999999999998,2.5937401274211216
E7_cross,0.8746539388947875,0.6859090475833333,0.6561679790026247,0.31999999999999984,2.843265437468342
E0b_linear,0.9218174781944293,0.7876605622401301,0.727735368956743,0.32999999999999985,3.2650510457104835
E11_workforce(lr),0.6947716244778074,0.40562283098195134,0.4767225325884544,0.22999999999999993,1.6814086066402676
E11_workforce(lgbm),0.6844865395874058,0.3668961635149128,0.5009208103130756,0.21999999999999992,1.5208768342350014
